LIN                           	LINAZA 24x250GR	CER   	CEREALES	CER   	CEREALES	GEN   	GENERAL	V			0
020                           	LINAZA 250gr UNIDAD	CER   	CEREALES	CERU  	CEREALES UNIDAD	GEN   	GENERAL	V			0
LOGIMAR                       	LOGIMAR	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
03-001                        	MAIZ COTUFA 1x22.5 KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
MAIZ20                        	MAIZ COTUFA 20KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
MACOT22                       	MAIZ COTUFA 22.5KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
7592418000169                 	MAIZ COTUFA 24x500 gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
MACOT25                       	MAIZ COTUFA 25 KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
013                           	MAIZ COTUFA 250gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
MAIZ40KG                      	MAIZ COTUFA 40KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
7592418000602                 	MAIZ COTUFA 48x250 gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
014                           	MAIZ COTUFA 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
COTUFA5KG                     	MAIZ COTUFA 5KG	GRA   	GRANOS	BOL5  	BOLSA 5 KILOS	GEN   	GENERAL	V			0
MAIZC                         	MAIZ CRIOLLO 50KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
MANOOBRA                      	MANO DE OBRA DIRECTA	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	S			0
MANZ                          	MANZANILLA 12.5 KG (CAJA)	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
MARGA                         	MARGARINA CHE SIN SAL 10 X 1	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
MARG                          	MARGARINA CHEF CON SAL 10 X 1	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
MAYO 4X3.78                   	MAYONESA 4 X 3.785 KG	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
MVSA                          	MAYONESA MAVESA 3.6 X 4	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
MEDI                          	MEDITERRANEAN SHIPPING C	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
02-001                        	MELOCOTONES 12X800gr	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
01-007                        	MERMELADA DE GUAYABA FRITZ 12x260gr	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
MILLOB                        	MILLO BLANCO 45.36KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
MILLOR                        	MILLO ROJO 45.36KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
05-007                        	MIX TRADICIONAL 150CC (AJO-SOYA-INLGESA)	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
01-003                        	MOSTAZA PREPARADA FRITZ 12x250gr	SAL   	SALSAS	SAL   	SALSAS	GEN   	GENERAL	V			0
MSC                           	MSC	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
MUND                          	MUNDO MAR	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
OCAMAR                        	OCAMAR	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
OC                            	OCEAN CARBEAN	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
7692418000169                 	ONOTO ENTERO 10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
ONOENTKG                      	ONOTO ENTERO 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418001140                 	OREGANO ENTERO NAC. 1X12x15GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
OREGKG                        	OREGANO ENTERO NACIONAL KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
OREGMOLKG                     	OREGANO MOLIDO KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
PAPELON                       	PAPELON PANELA 24x480gr FORRADO	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
759264000195                  	PIMIENTA BLANCA MOL10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
PIMBCAMOLKG                   	PIMIENTA BLANCA MOLIDA 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418001241                 	PIMIENTA GUAYABITA 10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
PIMNEGENT50                   	PIMIENTA NEGRA ENTERA 10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
PIMNEGENTKG                   	PIMIENTA NEGRA ENTERA 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418001784                 	PIMIENTA NEGRA MOL 10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
